sumber_data,parameter,date,time,periode,user,user_all,user_count,tweets,clean_text,word_count,hashtag,tag_count,is_duplicate,replying,fav_count,rep_count,ret_count,link
twitter,to_@CeritaTranspOL,2017-11-25,12:32 AM,periode_2, ipoelvodoo, ipoelvodoo ,2,"Pernah dpt driver yg lagi hujan badai tornado jemput gw pake ac dingin banget dia nunggu di depan 10menit ya Allah ...
Sampe kasian aku tanya ""pa knp ac nya ga dimatiin ?""
Dia jawab ""takut penumpang ga nyaman mas """,dpt driver hujan badai tornado jemput gw pake ac dingin banget nunggu allah sampe kasian pa knp ac dimatiin takut penumpang nyaman,22,,0,FALSE,True,5,NA,5,/ipoelvodoo/status/934338870929321985
twitter,to_@CeritaTranspOL,2017-11-25,12:55 AM,periode_2, jOhn_mOel, jOhn_mOel ,2,nae ini aja dijamin ga dimatiin acnya,nae dijamin dimatiin acnya,4,,0,FALSE,True,NA,1,5,/jOhn_mOel/status/934344901730246656
twitter,to_@CeritaTranspOL,2017-11-25,1:14 AM,periode_2, ummiyy, ummiyy  CeritaTranspOL,2,Abangnya pantang menyerah @CeritaTranspOL,abangnya pantang menyerah,3,,0,FALSE,False,2,11,9,/ummiyy/status/934349683907952645
twitter,to_@CeritaTranspOL,2017-11-25,3:43 AM,periode_2, PepoGalau, PepoGalau  CeritaTranspOL  UberDriver_JKT  uberID_comm  grubjek  GoCarJKT,6,Kawan2 di jalan tiati ya ..ngeri nih @CeritaTranspOL @UberDriver_JKT @uberID_comm @grubjek @GoCarJKT,kawan jalan tiati ngeri,4,,0,FALSE,False,2,NA,4,/PepoGalau/status/934387165013819392
twitter,to_@CeritaTranspOL,2017-11-25,4:16 AM,periode_2, yonpurba, yonpurba ,2,Kyknya driver yg begitu memang nunggu customer yg minta didinginin dulu baru dia dinginin . Pas sesampe di tujuan terbukti dia puter lagi temperaturnya ke very low .,kyknya driver nunggu customer didinginin dinginin pas sesampe tujuan terbukti puter temperaturnya low,13,,0,FALSE,True,NA,NA,1,/yonpurba/status/934395467374280704
twitter,to_@CeritaTranspOL,2017-11-25,4:19 AM,periode_2, yonpurba, yonpurba ,2,Sama gue juga pernah dpt babang yg cerita dpt customer yg bisa liat . Sepanjang jalan ya gue ngasih wejangan kalau yg begitu sugesti belaka,dpt babang cerita dpt customer liat jalan ngasih wejangan sugesti belaka,11,,0,FALSE,True,NA,NA,1,/yonpurba/status/934396080996962309
twitter,to_@CeritaTranspOL,2017-11-25,5:10 AM,periode_2, RedLinkga, RedLinkga ,2,"gw malah pernah dapet yg kenob settingan ACnya dilakban dong , spy gak bisa diutak -atik customer kayanya .",gw dapet kenob settingan acnya dilakban spy diutak atik customer kayanya,11,,0,FALSE,True,NA,1,1,/RedLinkga/status/934408887448432640
twitter,to_@CeritaTranspOL,2017-11-25,5:59 AM,periode_2, rendiishere, rendiishere  gojekindonesia  CeritaTranspOL,3,"@gojekindonesia gw hampir kena modus penipuan gojek nih , mo lapor cs ga ada yg ngangkat . abis googling , ternyata banyak yg ngalamin . modus mirip ini  cc @CeritaTranspOL",gw kena modus penipuan mo lapor cs ngangkat abis googling ngalamin modus,12,,0,FALSE,False,10,NA,10,/rendiishere/status/934421198028521472
twitter,to_@CeritaTranspOL,2017-11-25,6:21 AM,periode_2, imalavins, imalavins  CeritaTranspOL,2,"@CeritaTranspOL hari ini di sby hujan deress dan di dlm salah satu mall ada driver nyeker & basah kuyup ,untung satpam tanggap & langsung sigap ngasih tau lokasi tenants :( gak bisa bantu banyak cuma bisa bantu doa semoga rezekinya lancar :(",sby hujan deress dlm salah mall driver nyeker basah kuyup untung satpam tanggap langsung sigap ngasih lokasi tenants bantu bantu doa semoga rezekinya lancar,24,,0,FALSE,False,9,4,15,/imalavins/status/934426818626461701
twitter,to_@CeritaTranspOL,2017-11-25,8:37 AM,periode_2, Dalsubiin, Dalsubiin ,2,"Aku selalu nangis ingetnya .

Ga riya . Serius .
Aku selalu ngelebihin ngasihnya , apalagi kalo udah denger curahan hati aku :""

Td sore aja , ngelebihin 20k buat si bapak krn RELA ujan2an nganterin go -food :""",nangis ingetnya riya serius ngelebihin ngasihnya kalo udah denger curahan hati td ngelebihin rela ujanan nganterin go food,18,,0,FALSE,True,2,NA,2,/Dalsubiin/status/934461075025620992
twitter,to_@CeritaTranspOL,2017-11-25,7:41 PM,periode_2, genta_langit, genta_langit  CeritaTranspOL,2,"""tau manortor gak mbak ?""
""tau pak , nari tortor toh ?""
""kok tau sih mbak ?""

Lalu bapak Gojeknya siul -siul nada tari tor -tor @CeritaTranspOL",manortor mbak nari tortor mbak gojeknya siul siul nada tari tor tor,12,,0,FALSE,False,NA,NA,1,/genta_langit/status/934628096489033728
twitter,to_@CeritaTranspOL,2017-11-25,7:38 PM,periode_2, genta_langit, genta_langit ,2,"Kemaren bapak Gojek nyuruh saya nonton prosesi ngunduh mantu Kahiyang , waktu saya cek nama belakang bapaknya Nasution . Pantas",kemaren nyuruh nonton prosesi ngunduh mantu kahiyang nama bapaknya nasution,10,,0,FALSE,False,1,1,5,/genta_langit/status/934627312649175041
twitter,to_@CeritaTranspOL,2017-11-24,11:34 AM,periode_2, gost_funy, gost_funy  CeritaTranspOL  noediyan,3,"Mayan nih buat gosend ~
Cc @CeritaTranspOL @noediyan",mayan gosend,2,,0,FALSE,False,14,1,6,/gost_funy/status/934143266349490176
twitter,to_@CeritaTranspOL,2017-11-24,5:13 PM,periode_2, achmadupiq, achmadupiq  CeritaTranspOL,2,@CeritaTranspOL meneruskan cerita dari grup dan semoga berkah yg melimpah buat masnya karna memuliakan hari jum 'at ,meneruskan cerita grup semoga berkah melimpah masnya memuliakan jum,9,,0,FALSE,False,6,NA,15,/achmadupiq/status/934228627222274050
twitter,to_@CeritaTranspOL,2017-11-25,12:00 AM,periode_2, CeritaTranspOL, CeritaTranspOL ,2,Coba teman -teman driver mungkin tahu alasannya ?,coba teman teman driver alasannya,5,,0,FALSE,False,NA,20,1,/CeritaTranspOL/status/934330839566991361
twitter,to_@CeritaTranspOL,2017-11-24,11:24 PM,periode_2, fitriandiani, fitriandiani ,2,"i don 't mind having a little conversation with babang ojek walau cuma basa -basi , kadang juga seru kok .",don mind little conversation babang ojek basa basi kadang seru,10,,0,FALSE,False,NA,1,1,/fitriandiani/status/934321928180973568
