sumber_data,aplikasi,date,username,text,clean_text
playstore,gojek_customer,2018-03-22, Ruswan Wu , Lovely but could be better if GO POINTS can be used by user better The prizes require 100k or something while each ride will only give around 8 30 points Also it will be better if there s an API to develop with Go Jek and quick link to store on Go Food and Go Mart Thank you ,lovely better go points can used user better prizes require something ride will give around points also will better api develop go jek quick link store go food go mart thank
playstore,gojek_customer,2018-04-15, Muhammad Satrio , tidak bisa login setiap login username not found coba register ulang tidak bisa karena nomer HP sudah digunakan oleh akun yg error ,login login username found coba register ulang nomer hp akun error
playstore,gojek_customer,2018-04-15, anies khairunnisa , Tambahin fitur chat ke drivernya dong biar lebih gampang ngehubunginnya Kalo untuk yg lainnya udh bagus kok ,tambahin fitur chat drivernya biar gampang ngehubunginnya kalo udh bagus
playstore,gojek_customer,2018-03-16, Michael Jonathan Setiawan , Update selanjutnya go bluebird bisa milih dong mobilnya mau toyota limo atau honda mobilio atau toyota avanza Memudahkan pemakai jika ingin banyak orang ,update go bluebird milih mobilnya toyota limo honda mobilio toyota avanza memudahkan pemakai orang
playstore,gojek_customer,2018-03-03, Aditya Alphalexia , Tolong gojek benerin metode message dari app without pake pulsa or sms Tidak bisa di pakai kasian tukang gojek yang harus menelpon atau sms lebih baik cepat stabilkan metode message by app memudahkan konfirmasi dan pelayanan semakin cepat ,tolong gojek benerin metode message app without pake pulsa sms pakai kasian tukang gojek menelpon sms cepat stabilkan metode message app memudahkan konfirmasi pelayanan cepat
playstore,gojek_customer,2018-03-06, Lydia Susanto , Surprise di bulan maret dapet 10 voucher goride rp 8000 Thank you Gojek Moga sering ada promo jg buat gocar Ditunggu inovasi lainnya Gojek top bgt Ditambah lagi Ada poin yg bisa ditukar hadiah Bikin happy Makin sukses Gojek n team ,surprise maret dapet voucher goride rp thank gojek moga promo gocar ditunggu inovasi gojek top bgt ditambah poin ditukar hadiah bikin happy sukses gojek team
playstore,gojek_customer,2018-03-29, aldy agistanas , Tolong aplikasinya agar di perbaiki lagi tadi saya order Go Jek tapi pas masnya udah di tempat malah ga bisa di pick up order karena ada kesalahan di aplikasinya otomatis perjalanan saya sedikit terhambat tolong di perbaiki lagi oke ,tolong aplikasinya perbaiki order go jek pas masnya udah order kesalahan aplikasinya otomatis perjalanan terhambat tolong perbaiki oke
playstore,gojek_customer,2018-04-10, Jeanne Isbeanny , Tadinya pelayanan memuaskan sekarang mengecewakan saya harus nunggu sampe sejam dan dicancel sampe 5x berturut2 dan harga semakin naik seiring gada yg mau pick up Tlg gojek perbaiki masalah ini saya pelanggan setia tapi kalau begini saya ga mau pake gojek lagi ,pelayanan memuaskan mengecewakan nunggu sampe sejam dicancel sampe harga seiring gada tlg gojek perbaiki pelanggan setia pake gojek
playstore,gojek_customer,2018-03-05, henry wirawan , Bring back the Refresh button on GoRide and GoCar while waiting the driver to pick up our internet service is not that good to follow the Gps of the driver everytime Need some refresh to relocate them thankyou ,bring back refresh button goride gocar waiting driver internet service good follow gps driver everytime need refresh relocate thankyou
playstore,gojek_customer,2018-03-18, Rahmat Kurniady , The note to driver is not working in my samsung S9 every time i wanted to type on the note box it didn t showed up when pressed back it s all messed up and need to repeat the process ,note driver working samsung every time wanted type note box didn showed pressed back messed need repeat process
playstore,gojek_customer,2018-03-20, Beethoven Elsword , This app is really helpful and useful Mostly when i m lazy then just press GoFood instead ,app really helpful useful mostly lazy just press gofood instead
playstore,gojek_customer,2018-03-12, A Google user , Hi Gojek Saya mau memberikan saran dan masukan karena saya merupakan gojek user oleh karena itu saya ingin gojek menjadi yang terbaik dari kompetitor lainnya Untuk lokasi pick up di semua fitur gojek agar ditambahkan lokasi pintu lobby di setiap lokasi penjemputan contoh di mall hotel gedung pe ,gojek saran masukan gojek user gojek terbaik kompetitor lokasi fitur gojek lokasi pintu lobby lokasi penjemputan contoh mall hotel gedung pe
playstore,gojek_customer,2018-03-05, Alvin Christian , Sejak update terbaru tracker untuk posisi driver suka error Posisi drive padahal dekat tpi terlihat jauh d maps Dan untuk menambahkan Notes di lokasi jdi lebih ribet sekarang ,update terbaru tracker posisi driver suka error posisi drive tpi maps notes lokasi jdi ribet
