user,tweets
abeelyaza,"Kapolsek medan baru menghimbau para driver ojek online tdk memakai atribut , dikhawatirkan terjadi kericuhan lagi . @infomedan @gojekmedan21 @Paijo_Gemes #saveojekonline"
abeelyaza,"Semoga pemkot dan dishub Mdan bisa menemukan solusi untuk transportasi online dan konvensional , supaya warga Medan tidak lagi jadi korban krn terlantar akibat demo . @dishubmedanPPNK #savetransportasionline #saveojekonline @Kesya_Kimberley"
andiksujitno,"Innalillahi wa inna ilaihi rojiun , ini pelajaran buat para driver ojek online , untuk menepi kalau dalam keadaan ngantuk , nanti akibatnya fatal spt yg dialami oleh driver grab ini . #saveojekonline utamakan keselamatan  @Paijo_Gemes"
abeelyaza,"Waduh , transportasi online dilarang beroperasi oleh pemkot Probolinggo . Kenapa bisa begitu @infoprobolinggo @Grace_Ayudia  #savetransportasionline #SaveOjekOnline"
Indah_GDS,"Sebagai agen pengawas , bawaslu Jabar gandeng ojek online .  #saveojekonline @elpanjullo @infojabar"
abeelyaza,Ojek online jadi pilihan yg tepat untuk mahasiswa utk menambah uang jajan . #saveojekonline banyak manfaat utk masyarakat luas .  @Kesya_Kimberley @Paijo_Gemes @hubdat151
Indah_GDS,"Pengusaha dan pengemudi angkot di Padang demo angkutan online , gmn dgn warga padang sendiri ?
 #saveojekonline Padang @InfoPadang_ @Paijo_Gemes"
abeelyaza,Ademmm liat ojek online dan konvensional damai begini . Top pak @ganjarpranowo @infojateng  @Kesya_Kimberley kita doakan daerah yg lain bisa adem begini . #saveojekonline
abeelyaza,Turut mengapresiasi loyalitas BPJS yg merayakan ulang tahunnya bersama para driver Gojek . ini adalah bukti klo BPJS ketenagakerjaan perduli dgn keselamatn dan kesehatan para driver ojek online . #saveojekonline @Paijo_Gemes
Indah_GDS,Ini alasan ojol ngetem di bahu jalan dan didepan stasiun  #SaveOjekOnline @Paijo_Gemes
abeelyaza,"buat para customer , sebelum ngeluh nih baca !! #saveojekonline @Paijo_Gemes"
elpanjullo,"Aye memang bukan warga Balikpapan , tapi aye gedeg sama isi Perwali Balikpapan ini ... Ojek Online kok dibikin repot ... Madikipe memang !! tolong warga Balikpapan kasih tahu dah ke Walikota Balikpapan ... Perwalinya kagak banget dah !! #SaveOjekOnline"
Indah_GDS,Itu artinya msyarakat Jateng nyaman dan puas dgn pelayanan transportasi online . Pak @ganjarpranowo mohon diperhatikan para driver2 online ini pak  @infojateng #savetransportasionline #saveojekonline  @abeelyaza @elpanjullo
kumalasan_dy,"Kalo peraturan walikota begini sama driver ojek online , apa ga memihak ini namanya pak ? kalo semua tempat dilarang , kita nariknya dimana pak ? @Balikpapanku @InfoBalikpapan @Paijo_Gemes #SaveOjekOnline Kita bekerja untuk anak istri pak , tolonglah jgn persulit kami ."
abeelyaza,"Udah kadung seneng ojek online legal di balikpapan , ternyata isi perwalinya begini . Berasa jadi anak tiri di negeri sendiri , ternyata masih ada keberpihakan pada organda @Balikpapanku @Kesya_Kimberley @deddot05 #SaveOjekOnline @hubdat151 @PemkotBPN"
AnnisaSeptiayu,Gila ! Ojek pangkalan makin gila ... Sudah tidak benar ini .... #SaveOjekOnline @infomanado @baciritaID @ILoSanre @danrem @andreOPA
Indah_GDS,"@PemkotBPN keren banget , dengar dikeluarkan perwali , maka ojek online di balikpapan menjadi legal . #Saveojekonline @Kesya_Kimberley @elpanjullo  semoga daerah2 yg lain menyusul @gojekindonesia"
abeelyaza,"Hati2 pada penumpang yang berpura2 baik dan perhatian , jangan terpedaya , abang driver ojol ini kehilangan motor , hp dan dompetnya gara2 tdk tahan dirayu penumpangnya . #Saveojekonline  waspadalah @Kesya_Kimberley @Paijo_Gemes @elpanjullo"
RahyaMaya,Alhamdulillah ... Ojek Online di Semarang tetap beroperasi seperti biasa ... Kabar baik buat warga Semarang ... #SaveOjekOnline @SovietFoxtrot @lalasati @yunantyo2 @masinusina @hendrarprihadi @ganjarpranowo @provjateng
Krisna75an,"Mogok ga narik , apa itu bisa menguntungkan angkot Magelang ?ato bahkan warga akan berpaling darinya , coba pikirkan itu @InfoMagelang @ganjarpranowo  #SaveTransportasiOnline #saveojekonline @Kesya_Kimberley"
Indah_GDS,"Proud of you pak walikota balikpapan , perwali ini yg dibutuhkan para driver ojol , supaya mereka punya payung hukum yg resmi , agar mereka lebih leluasa bekerja . @Dishub_Bpn gmn menurut bpk @Darmaningtyas  #SaveOjekOnline"
abeelyaza,"Setuju dgn sosiolog UI , harusnya perusahaan aplikasi menyediakan penawaran pada custemr , mau driver laki apa perempuan , ato mau dua2nya , agar tidak ada pihak yg merasa dirugikan . @infojakarta  @TIGORaja #saveojekonline @elpanjullo"
RahyaMaya,Kominfo @provjateng sudah mengadakan audiensi dengan sopir angkot ... Sopir angkot menuntut pelarangan ojek online ... Tuntutan seperti ini harusnya ditolak saja ... Karena sekarang era digital ... #SaveOjekOnline @ganjarpranowo @masinusina @yunantyo2 @qitmr
RahyaMaya,"Sudah tidak benar ini , Polri harus usut tuntas masalah ini ... #SaveOjekOnline @rasjawa @Habib_Insyaf @habibthink @ustadzthink @nukman @danrem"
Krisna75an,"Makin kece aja nih driver Gojek , cantik pahlawan pula . Krn membantu korban tabrak lari .   perlu dicontoh noh perbuatan driver cantik ini . @Kesya_Kimberley #saveojekonline"
Indah_GDS,"Pemkot Temanggung tutup ojek online karena organda tdk mampu bersaing , aneh !! sama2 warga temanggung kok driver ojol didiskriminasikan #saveojekonline  lapor pak @ganjarpranowo gmn nih menurut bpk , @InfoTemanggung"
abeelyaza,"Hukum seberat2nya driver #grabbike , biar menjadi pelajaran buat driver yang lain #saveojekonline dari para driver2 yg tdk bertanggung jawab .  @Kesya_Kimberley @Paijo_Gemes"
