'April 18, 2018';'Fathimah Azzahra';'Fitur chat jgn di ilangin, pake fitur chatnya itu sngt membantu kami.';;;;
'April 16, 2018';'Mas Dhani';'Another issue, pilihan tertulis 14km namun saat akan bayar (calculating) trdapat pesan, max order 25km..???';;;;
'April 18, 2018';'wira satya';'Kenapa kok error sih saya pesan gojek nya double padahal saya pesan satu kepesan dua';;;;
'April 16, 2018';'MICHAEL CH RAJENDRA';'Slow server responses, some feature won't work properly.';;;;
'April 17, 2018';'Dion Pereira';'This app is a life saver and can't imagine life without Go-Jek anymore, especially Go-Food _Ÿ‘Œ_Ÿè_';;;;
'April 18, 2018';'Reza Fitra Kusuma Negara';'Uang saya dalam bentuk GO-PAY ditahan oleh gojek waktu withdraw, tidak segera cair. Di aplikasi tertulis 1 hari kerja efektif. Waktu komplain ke CS, disuruh nunggu 3 x 24 jam. Setelah lewat 3 x 24 jam, komplain lagi, kata CS untuk bank kecil bisa lebih dari 3 x 24 jam. Tidak jelas lebihnya berap...;;;;
'April 17, 2018';'Kenny Jusup';'2 hari error terus gabisa order';;;;
'April 14, 2018';'Malicious Hex';'Ada bug stlh update di home go points ad tulisan token 5. Ps d klik g ada';;;;
'April 17, 2018';'rich 22';'Sering error... Go point ga nambah2. Tlg perbaiki servernya krn sering bgt down.';;;;
'April 15, 2018';'Redi Kalingga';'Updated to v 3.4.1 order details could not loaded.. I can't track where my driver is';;;;
'April 18, 2018';'Suliadi Marsetya';'Recent version randomly checks for location even the app is not active/in use';;;;
'April 18, 2018';'Farah Farida';'Excellent customer service!! I have problems before but the customer service team quickly handle it professionally.';;;;
'April 18, 2018';'Yudhi Pratomo';'Koneksi jadi nggak stabil setelah update terakhir, point tidak terupdate setelah swipe';;;;
'April 19, 2018';'Desi Aperta Banupramesti';'Gimana nih go paynya error terus. Menghambat saya pesan go ride';;;;
'April 17, 2018';'A Google user';'Waktu lagi keluar kota selama seminggu setiap harinya slalu mesen 5-6 kali tpi sayang bgt ga dapet point sama sekali (padahal pakai gopay) karna waktu itu lgi gangguan kata driver nya. Sangat sangat disayangkan';;;;
'April 17, 2018';'Fisca Anggraeni';'Why gua kalo mesen gocar sama drivernya di cancel cancel mulu lama bgt mending kalo pas ga buru buru, kalo iya_- karena kelamaan gua cancel dikatain ga punya etika_- ya ok gwenchana tlg driver juga pake etika ya';;;;
'April 18, 2018';'Broto Purwanto';'Kenapa tidak assign driver terdekat. Order Go Ride malah dikasih driver di seberang jalan dan harus nunggu hampir satu jam utk putar balik sementara di sebelah ada beberapa driver nganggur.';;;;
'April 17, 2018';'linna sipahutar';'LEMOTTTTTTT! Kebangetan lemotnya udah seminggu ini, udah lemot trus eror lagi';;;;
'April 16, 2018';'Anthony .S';"'W sering di cancel sama driver nya gara"" ada promo, kalau ga niat ngelayani ya ga usa accept order. Respect buat customer service nya buat memperbaiki masalah ini.'";;;;
'April 18, 2018';'Asti Wijaya';'Ini pas order go car kenapa beberapa kali aplikasi cancel sendiri ya padahal saya tidak cancel. alhasil jadi customer yang dimaki-maki supir padahal aplikasinya yang cancel sendiri... Tolong di follow up dong.';;;;
'April 13, 2018';'Bagas Dwi Septyan';'Terrible server when in high demand area';;;;
'April 19, 2018';'Fenny Amala';'Diperbaiki lagi dong masa tiba-tiba gak bs pake gopay -_- harus byr cash gmn sih. Kmrn saya juga mau order tb2 kok ke logout sendiri apsnya. Mana kadang maps Sama drivernya beda.';;;;
'April 18, 2018';'Adeline Vania Kirana';'Versi terbaru masih sering ngefreeze, tiba2 berhenti. Dan waktu sudah main token, poin blm otomatis bertambah, dan bahkan token tertulis belum dipakai, padahal sdh dimainkan. Semoga bisa diperbaiki :)';;;;
'April 17, 2018';'nanda setiawan';'Very usefull aplication love it .. commuting becoming so eassssyyy and cheap. Jgn naik harga ya :) keep up d great work !';;;;
'April 17, 2018';'Ajie Isdianto';'Update terbaru sering ngaco, aplikasi masih terus mencari driver, padahal sudah dapat driver. Dan di sisi driver order yg sudah di cancel suka nyangkut dan masih dijalankan, padahal di sisi saya sudah dicancel.';;;;
'April 18, 2018';'Nathania Audrey';'Tolong benerin mapnya ya. Waktu itu drivernya udah sampe padahal di map masih jauh dan ga gerak. Buat pelayanan, 10/10, drivernya bener-bener ramah.';;;;
'April 17, 2018';'Christine Calista';'Can you just train the driver how to read maps, because most of time the driver always asked my position (I already write my position correctly)';;;;
'April 16, 2018';'Stephanus Simbar';'Hmm, Skrg gopoint nya ga bsa di tuker sama Voucher Gofood lagi ya.. padahal enakan gofood drpd cm motong ongkir nya';;;;
'April 18, 2018';'Mr. K';'Njay, saya udh pake token tapi poinnya gak nambah. Kok token saya 3 trus? Padahal udah kepake. Trus pas dipake malah dibilang gak Ada token.';;;;
'April 16, 2018';'Nico M';'Something not right with your account, mksudnya apa? Udh langganan lama knp jd gni, nyusahin orang mw brgkt kerja j';;;;
'April 18, 2018';'A Google user';'update 3.4.1 jelek banget. sering lag trus anr';;;;
'April 17, 2018';'abel amien';'Its pretty good but the reward system is weird because every time i use my go point it doesnt respond';;;;
'April 19, 2018';'ãÅ‹ã‚‰é£›è¡Œæ©Ÿ';"'""gopay server is busy "" seriously gojek ? I have my money in there but i can't use it (gopay )to make an order and reffered to cash'";;;;
'April 19, 2018';'Gunawan Raditya';'Kl feature mengetahui driver masih jelek, lebih baik gak usah ditampilin aja sekalian..share live location gojek nya gak stabil..';;;;
'April 19, 2018';'annanovalia dewii';'Driver banyak, tapi server dan jaringan dari Gojeknya sering bermasalah... Please perbaiki... Jangan sampe hal ini bikin pelanggan pindah ke lain hati..._Ÿ˜__Ÿ˜_';;;;
'April 16, 2018';'mardiani mansyurah';'Go points nya eror terus. Tiap di swipe trs loading lama sekali, lalu muncul akhirnya tidak dapat di proses.';;;;
'April 16, 2018';'SUGI ANTO';'klo ada fitur bookmark alamat. sempurna dah ini aplikasi.. biar ga lama lama lagi cari alamat yg sering di pakai';;;;
'April 18, 2018';'Takim P';'Perlu fitur utk menentukan preferensi jenis kelamin driver. Tdk semua penumpang laki2 merasa nyaman jika drivernya wanita';;;;
'April 18, 2018';'wan dodi';'Keren yg sulit mnjadi mudah untk d selesaikan';;;;
'April 17, 2018';'Iqbal Q';'ga bisa login sangat menghambat posisi saya garut';;;;
'April 16, 2018';'Hendro Setiawan';'Pesan Go-FOOD 30 menit mencari driver';;;;
'April 18, 2018';'Govinda Savitridevi';'Respon customer service sangat baik dan cepat merespon keluhan pelanggan, untuk kedepannya diharapkan bisa lebih baik';;;;
'April 16, 2018';'neztri wardani';'Beberapa hari ini errorr.... Dan connect to server lamban (server down) walau pake wifi.. Maps kurang akurat...';;;;
'April 18, 2018';'Sugiharto Susanto';'worst privide false location cause delay ....';;;;
'April 16, 2018';'Ainun Rawie';'Setelah diupgrade kok jadi lemot bgt';;;;
'April 16, 2018';'G F';'Parah ga bisa order habis update';;;;
'April 15, 2018';'Anisa Erpe';'Aplikasi gofoodnya sering eror padahal cuman pesen sekali 2 driver yg berbeda sering respon';;;;
'April 16, 2018';'zayn njl';'Sometimes the gojek is just not working';;;;
'April 15, 2018';'Auxilia Yurika';'Beberapa alamat masih gak muncul di map.. terutama alamat rmh saya.. nama jalannya gak ada di map._Ÿ˜„.';;;;
'April 16, 2018';'Dewi Ayu Wulandari';'Sangat terbantu sekali dg adanya gojek. Sekedar saran, kalo bisa ketika order gofood sekali order bisa lebih dr 2 jenis (ditempat yg berbeda) jd tdk prlu buat order baru lagi. Akan lbh efisien utk pengguna gofood, apalagi yg tempat ordernya bersebelahan. Karena pengalaman beberapa driver hanya mau m...;;;;
'April 16, 2018';'Raven Amarath';'Last 2 Update are Lemot';;;;
'April 17, 2018';'tito dwi syahputra';'Error terus.';;;;
