V1;V2;V3;V4;V5;V6;V7;V8;V9
20-Dec-17;7.51 AM;@dinadimu;Daku sore tadi mengalami drama gojek ini karna nama yang sama pic.twitter.com/me46qPAhqF;TRUE;2;5;2;/dinadimu/status/943509118769250309
23-Dec-17;8.50 AM;@ayutami;when @Uber responded to my complaints Waaaay FASTER than @Uber_IDN. and I thought we live in the same city, duh.;FALSE;1;2;1;/ayutami/status/944611221273116672
23-Dec-17;8.58 AM;@euniceapril;Nama mas uber gua dong..:)))pic.twitter.com/ThwabZNBA9;FALSE;2;1;;/euniceapril/status/944613104222007296
23-Dec-17;7.32 PM;@nagacentil;Gojek udah masuk fase jadi merchandise dan diiklanin tanpa diminta pic.twitter.com/lqTJQNeVSQ;FALSE;2;3;6;/nagacentil/status/944772783183032321
24-Dec-17;6.37 AM;@katherinepoluan;Malam natal jd terharu, mau nangis  Abis pesen gofood & kasih tip yg gak seberapa terus disms didoain panjang bgt sm drivernya. Amin pak pic.twitter.com/1AtHuOxe15;FALSE;;4;16;/katherinepoluan/status/944940186219061249
25-Dec-17;10.14 PM;@ndilossa_;Siap dijemput untuk menumpas kejahatan  @CeritaTranspOLpic.twitter.com/z5w13GYreD;FALSE;1;6;3;/ndilossa_/status/945538177837568000
25-Dec-17;7.07 PM;@_fransiskancis;"Percayalah, masih ada banyak orang baik di sekitar kita 
@gojekindonesiapic.twitter.com/7IEfQizXNo";FALSE;44;2.7K;1.1K;/_fransiskancis/status/945491161845719040
25-Dec-17;4.21 PM;@dituneik;Pagi ini blusukan sama @GrabID si bapak driver lewat gang2 kecil, masuk sini masuk sono. Gw kirain tau jalannya, ternyata dia juga nggak tau. Hahahaha.. @CeritaTranspOLpic.twitter.com/gJ3E12bZHt;FALSE;;2;;/dituneik/status/945449523161079808
25-Dec-17;10.26 AM;@pengendarabesi;lihat gimana para supir eh mitranya @GrabID -car pada ga kabur ke aplikasi sebelah. perbedaan harga yg sangat jauh . blom ditambah potongan 20% lagi hahahah. jangan customer mulu yg dimanjain bos, itu mobil sama keluarga mitranya jg butuh macem2 buat dibiayai bos.@CeritaTranspOLhttps://twitter.com/heroeIRM/status/945338411149287425 …;FALSE;3;2;1;/pengendarabesi/status/945360095214309376
25-Dec-17;8.45 AM;@galihnyaryu;@GrabID menjelang berakhirnya jam perhitungan point mulai bermunculan akun sampah dengan order fiktif nya cape deh mau tupo ga gt juga kali cara nya @CeritaTranspOL;FALSE;2;1;;/galihnyaryu/status/945334673206534144
26-Dec-17;4.46 AM;@CeritaTranspOL;https://twitter.com/orfanurmaa/status/945323183804071936 …;FALSE;;;;/CeritaTranspOL/status/945636991453995008
25-Dec-17;6.14 AM;@aranigr;Tadi sore liat mamang gojek pake kostum spiderman lengkap sampe topengnya. Kelakuan... cc: @CeritaTranspOLpic.twitter.com/Bx7sVgKba0;FALSE;4;38;14;/aranigr/status/945296780542984192
25-Dec-17;5.18 AM;@sabrina_riyanto;"Butuh aqua ? :v
@CeritaTranspOLpic.twitter.com/9P0AUbIoHN";FALSE;;2;2;/sabrina_riyanto/status/945282537269575680
24-Dec-17;11.50 PM;@askmenfess;[askmf] sekedar mengingatkan. maaf apabila ada yang tersinggungpic.twitter.com/AWpzgcZkFs;FALSE;9;204;36;/askmenfess/status/945199966003138560
23-Dec-17;5.44 PM;@dexteriousity;@CeritaTranspOL 2 tipe driver ojol yg ga boleh dimacem2in: 1) akamsi 2) pic.twitter.com/A7PImdZuUH;FALSE;;5;2;/dexteriousity/status/944745538448113664
23-Dec-17;5.56 AM;@underundur;"Jadi inget, td siang order Gojek. Pas Gojek datang, disamperin ojek lokal, ojek lokal marah2.
Trus saya disuruh naik ojek lokal dulu sampe keluar zona free-ojol. Dibayarin mas Gojek.

@CeritaTranspOL @gojekindonesia";FALSE;5;4;4;/underundur/status/944567351961296896
23-Dec-17;1.10 AM;@askmenfess;[askmf] zoom aja y :( aku baper tolonq :(pic.twitter.com/NtJZFmVegP;FALSE;331;299;139;/askmenfess/status/944495316333555712
23-Dec-17;1.43 AM;@dituneik;Icon @GrabID baru nih @CeritaTranspOLpic.twitter.com/CfdkPrE9IV;FALSE;1;1;;/dituneik/status/944503634573778944
22-Dec-17;5.33 AM;@leijun;Selfie with the driver of #GOJEK. He told me he has being a Mi Fan.pic.twitter.com/tBzxBCYBcH;FALSE;28;78;201;/leijun/status/944199267182436352
22-Dec-17;8.45 AM;@Lm_Fw;Terimakasih Bapak yang tadi dari perdatam ke Jt. makmur pondok gede.semoga dilimpahkan Rizkinya Amiin. Cc @CeritaTranspOLpic.twitter.com/R8rAzOEZME;FALSE;;1;6;/Lm_Fw/status/944247540588752896
22-Dec-17;4.36 AM;@NdaWiindaaa;@CeritaTranspOL drama ojol malam ini  .pic.twitter.com/FFjqHkXAHL;FALSE;;1;;/NdaWiindaaa/status/944184795470315521
21-Dec-17;11.12 PM;@noediyan;3. klo ordernya uber = sistem no waiting, order langsung masuk dengan di klik driver, karena ada harga petir (x1.6-x2.3-x3.2) argo ini yang membuai driver pasti dapat argo besar, walau titik jemput dan tujuan belum diketahui.;TRUE;1;1;;/noediyan/status/944103448668127232
21-Dec-17;11.11 PM;@noediyan;"1. klo ordernya gocar = ada sistem autobid. tetiba langsung masuk.
2. klo ordernya grabcar = ada sistem berantai, langsung masuk dengan klik, karena lihat argo, biasa driver terima dulu, cancel belakangan.
3. klo ordernya uber = sistem no waiting, (1)";TRUE;1;4;;/noediyan/status/944103153506516992
20-Dec-17;6.05 AM;@galihnyaryu;@CeritaTranspOL @GrabID eta terangkan lah masih aja ada order fiktif di saat injury time bonus jam sibuk dan bonus harian, astagfiruloh masih kena akun iseng, positive thinking nya mungkin dy lelah nunggu order murnipic.twitter.com/QixTeuEwQU;FALSE;2;1;;/galihnyaryu/status/943482440479154176
20-Dec-17;6.00 AM;@genta_langit;"""mbak, udah tau belom Pelni jalannya dibongkar?""
""emang iya mas? Belum tau saya""
""yaudah kita lewat situ ya biar mbaknya tau""
""MASSS TAMBAH JAUH MASS WOOYY LAGI SAKIT PERUT INIII""

lalu tetep dilewatin Pelni sama mas grabnya :""| @CeritaTranspOL";FALSE;;3;;/genta_langit/status/943481347246403584
20-Dec-17;4.13 AM;@hendyaw;Pernah nanya driver Uber, katanya kalo kita suka dirating 5 sama driver, kita bakal dapet promo potongan 5000 itu. Kalo gak salah setiap 10 atau 5 kali berturut-turut bintang 5 dari driver sih;TRUE;1;2;;/hendyaw/status/943454386545598465
20-Dec-17;4.12 AM;@tikasabila;@CeritaTranspOL min di RS Rawamangun ada driver yang istrinya sakit ginjal.. awalnya sama2 nunggu dokter spesialis tapi si istri kesakitan dan akhirnya masuk UGDpic.twitter.com/tlnV0ObCh5;FALSE;;5;;/tikasabila/status/943454022534553600
20-Dec-17;3.28 AM;@Uaiaai29;"@CeritaTranspOL Manusia-manusia kuat itu kita, Jiwa-jiwa yang kuat itu kita, Manusia-manusia kuat itu kita, Jiwa-jiwa yang kuat itu kita~

Mantep nih drivernya pantes merdu sepanjang jalan. Tadi pokoknya kaya video klip lah, ujan, kupluk jas ujannya nampa";FALSE;;2;;/Uaiaai29/status/943442925412696065
20-Dec-17;1.13 AM;@galihnyaryu;@CeritaTranspOL @GrabID ya tuhan hindari kami dari customer iseng, pesan makanan di telp ga aktif di chat pending, padahal kami sangat serius kerja yg akhir nya performance kami turun dan hujan pun mebasahi pipi bersama air mata kesedihanpic.twitter.com/v;FALSE;4;2;1;/galihnyaryu/status/943408987650736129
19-Dec-17;11.52 PM;@PROPAGAN7A;"@CeritaTranspOL @PEMBIMBINGUTAMA 
Dosen jaman nowpic.twitter.com/Us1CYOmWGl";FALSE;;5;1;/PROPAGAN7A/status/943388512660754433
19-Dec-17;11.43 PM;@DhitaOktvn;Ngeri amat mas @CeritaTranspOLpic.twitter.com/MBzre2Qvft;FALSE;;4;;/DhitaOktvn/status/943386459389681669
20-Dec-17;8.14 AM;@amharrrrr;oiya ini si bapaknya smg rejekinya lancar trs ya pak, seneng bgt masih ada org baik di jkt kok . sekian. cc @DriverGojekPro @CeritaTranspOLpic.twitter.com/aBKoY8Qzzv;FALSE;4;4;2;/amharrrrr/status/943515059967242240
20-Dec-17;10.01 AM;@noediyan;"Alhamdulillah, rejeki malam ini, nett @ 40k per jam, tanpa macet.

Dan sudah 400 late night trip.
Jam kalong selesai.
Waktunya istirahat.
Met Bobo @CeritaTranspOLpic.twitter.com/b7IPoljK5Y";FALSE;2;3;4;/noediyan/status/943541887390048257
20-Dec-17;6.24 PM;@gendhis_ib;Dicancel di depan mata sama driver @Uber_IDN karena dia blg jalannya macet dan mau cr arah depok aja wtf @CeritaTranspOLpic.twitter.com/Adx39ob9FN;FALSE;4;1;2;/gendhis_ib/status/943668497673945088
20-Dec-17;6.30 PM;@siriuslyelmo;Tapi, Pak ... perjalanan kita bahkan belum dimulai ... @CeritaTranspOLpic.twitter.com/5TJv3GIaR3;FALSE;1;2;;/siriuslyelmo/status/943669900848939010
21-Dec-17;12.04 AM;@Akm_FADH33;Dianterin personel cagur... @CeritaTranspOLpic.twitter.com/EVorAbC03V;FALSE;1;1;;/Akm_FADH33/status/943753953707155461
22-Dec-17;3.28 AM;@CeritaTranspOL;Eh gimana ini?https://twitter.com/selphieusagi/status/943867944274030592 …;FALSE;;1;2;/CeritaTranspOL/status/944167714511241216
19-Dec-17;4.48 AM;@CeritaTranspOL;https://twitter.com/arkumaa/status/943025510912630785 …;FALSE;;1;2;/CeritaTranspOL/status/943100670206361600
19-Dec-17;4.48 AM;@CeritaTranspOL;Teman-teman driver ada yang punya solusi? Yuk berbagi!https://twitter.com/dwiirochmaa/status/943017364186062848 …;FALSE;1;2;;/CeritaTranspOL/status/943100630188548097
18-Dec-17;11.09 PM;@josputra_;Hi @CeritaTranspOL mungkin ada teman yang berminat :)pic.twitter.com/soWVgxwD7p;FALSE;3;4;7;/josputra_/status/943015528511127552
19-Dec-17;4.46 AM;@CeritaTranspOL;Memetwit.https://twitter.com/alvionitarani/status/943007763466141696 …;FALSE;;1;1;/CeritaTranspOL/status/943100277300781056
19-Dec-17;4.45 AM;@CeritaTranspOL;Ihiy!https://twitter.com/fitriandiani/status/943001459980824578 …;FALSE;;1;2;/CeritaTranspOL/status/943100081707794432
18-Dec-17;7.20 AM;@sabrina_riyanto;Buat pengguna uber, emg tiap minggu uber ngasih promo ya ? Kok di akun gue promo mulu ya :'v , udh sebulan malah @CeritaTranspOLpic.twitter.com/1ADvdPMBeD;FALSE;11;1;;/sabrina_riyanto/status/942776711829102592
18-Dec-17;7.45 AM;@yonpurba;Jakarta nowadayspic.twitter.com/qxiNBTidmt;FALSE;17;522;139;/yonpurba/status/942782890814840833
18-Dec-17;9.28 AM;@noediyan;"Kalau driver sudah telp. 
Sudah 100 meter dari Titik jemput.
Kemudian saat didepan gedung dicancel tuh gimana rasanya ya?
Padahal ditelp. Katanya Jemput diluar aja.
Dan saat itu dia berhentikan Dan Naik taxi biru.

pic.twitter.com/r5tplrMjWF";FALSE;4;8;2;/noediyan/status/942808755997044736
18-Dec-17;2.11 PM;@Assya7;Sempet diemin dulu, kali aja driver nya kelewat puteran... Lama-lama makin jauh, drivernya udah ke jalan ke arah depok(?) dan tidak ada tanda-tanda mengarah ke rumah;FALSE;4;1;;/Assya7/status/942879993088000000
18-Dec-17;1.58 PM;@Assya7;Pesen ojol dari rumah ke halte, ojolnya pergi duluan ke halte g jemput aku dulu;FALSE;4;1;1;/Assya7/status/942876737951514624
19-Dec-17;4.43 AM;@CeritaTranspOL;Heee...daster? Eh tapi usahanya bagus ya.https://twitter.com/kiki29f/status/942920261258506240 …;FALSE;1;1;;/CeritaTranspOL/status/943099519465435137
19-Dec-17;4.43 AM;@CeritaTranspOL;Why diambil yes.. https://twitter.com/tarotdarma/status/942934460839821312 …;FALSE;1;;;/CeritaTranspOL/status/943099361604485120
18-Dec-17;6.06 PM;@noediyan;"Main di ring 1 bang. Tutup point go-car, grab sm Uber bisa tiap Hari. 
Tapi klo pale manual dijamin pegel injek kopling.
Muacetnya GK nahan.pic.twitter.com/PH6HZdUHhl";TRUE;2;2;4;/noediyan/status/942939150461820928
19-Dec-17;4.42 AM;@CeritaTranspOL;Pegel.https://twitter.com/deni_mbeat/status/942941187723337728 …;FALSE;1;;;/CeritaTranspOL/status/943099198374682624
18-Dec-17;1.55 AM;@ulinyusron;Terima kasih banget Kang Irfan Dedy, pengemudi @gojekindonesia yang susah payah mengembalikan iPhone kesayangan yang tertinggal di motor. Jujur, tulus dan tanpa pamrih (menolak dikasih tips ngembaliin HP). Indonesia perlu banyak orang sepertimu Kang. Hormat grak!pic.twitter.com/NmJSiQedDZ;FALSE;64;793;1.1K;/ulinyusron/status/942694917893103616
18-Dec-17;12.34 AM;@noediyan;"Nanti pas sudah lunas, pasti lgs saya jual lagi nih mobil.
Karena udah babak belur bawa penumpang yang berbagai macam.

To reader @CeritaTranspOL 
Mohon maaf jika mobil driver anda kotor, kurang nyaman, mungkin beliau / driver sudah berusaha menjaga kebersihan. (4)";FALSE;3;5;4;/noediyan/status/942674422728495104
18-Dec-17;12.32 AM;@noediyan;"ketika mereka naik, Si Bapak senior bilang
""Macem bukan Jakarta je ni, naik oto pakai koran.""
Akhirnya saya ikhlas saya telan, karena masih dpt high fare  (50k) dari argo normal 36k.
Dan berharap kolong mobil gk banyak yg rusak karena mentoq jembatan tadi. (3)";FALSE;2;2;;/noediyan/status/942673911212261376
18-Dec-17;12.30 AM;@noediyan;"Dan mobilnya nyangkut, gara2 full load, 
satpam minta baris tengah turun dulu, supaya bisa lewat.
Pas baris tengah dan turun mobil bisa lewati jembatan, mereka naik lagi.
Kapok dengan hal serupa https://twitter.com/noediyan/status/907931379379322881 … saya ambil koran bwat alas karena masih mau ngalong (2)";FALSE;2;4;1;/noediyan/status/942673300152446976
18-Dec-17;12.27 AM;@noediyan;"another story of @CeritaTranspOL 17 DEC 17 
Jemput di Hotel, eh lagi ada galian saluran air, terpaksa mobil naikin jembatan darurat.
Pas penumpang sudah naik (3 pria @ 50kg baris ketiga, 3 wanita @ 45kg baris kedua, senior @ 65kg di bangku depan) suspensi turun, dan... (1)pic.twitter.com/uMQ3YxovLT";FALSE;2;9;3;/noediyan/status/942672645132230656
18-Dec-17;2.57 AM;@katanuning;Abis dapet bintang 2 dari abang uber. Padahal gue nyusahin juga enggak. Bikin nunggu juga enggak. Gegara pake credit card keknya :/ @CeritaTranspOL;FALSE;7;3;1;/katanuning/status/942710295255965696
18-Dec-17;3.30 AM;@rivamareta;"@CeritaTranspOL 
Ngojek jarak deket 1,5 km-an ga sampe 5 menit. Tp nunggu abang gojeknya 10 menit lebihpic.twitter.com/B3IcRs4eXV";FALSE;;1;;/rivamareta/status/942718653836824576
18-Dec-17;12.05 AM;@noediyan;"Barbuk.
End.

Eh iya, info aja. Skr Ada driver grab cgk. Jadi mereka dpt priority order area bandara dibandingkan driver lain.
Terima Kasih.
(4) endpic.twitter.com/KKWeMgFxWA";FALSE;1;4;;/noediyan/status/942667194738941952
18-Dec-17;12.02 AM;@noediyan;"Alhasil, saya mengalah dan menunggu, sempat diingatkan rekan driver taxol lain karena sudah mengundang perhatian. karena argonya murah, tmn2 taxol gk ada yg mau ambil.
dan karena saya harus memperbaiki rating penerimaan, saya tidak bisa cancel, dilema (3)";FALSE;;1;;/noediyan/status/942666441479798784
