date,user,tweets,is_duplicate,replying,rep_count,ret_count,fav_count,user_all,user_count,hashtag,tag_count,link,clean_text,word_count
2014-06-16,@xRMBLx,Selamat pagi!! Mari bersiap untuk aksi turun ke jalan hari ini. #BatalkanPerpres51th2014 #BaliTolakReklamasi pic.twitter.com/QsSsIbkSHk,FALSE,False,3,97,2,@xRMBLx ,2,"#BatalkanPerpresth, #BaliTolakReklamasi",2,/xRMBLx/status/478660144629174273,aksi turun jalan,3
2014-06-16,@Dekvan_,"Bangun Pagi,Prepare turun ke jalan. Meski tak mengenakan T-Shirt #BaliTolakReklamasi !! #AlamHarusMenang \m/",FALSE,False,NA,2,NA,@Dekvan_ ,2,"#BaliTolakReklamasi, #AlamHarusMenang",2,/Dekvan_/status/478659746304499712,bangun prepare turun jalan mengenakan tshirt,6
2014-06-16,@iroen_mromance,Outsiders Jayapura Dan sentani Dukung aksi. #BaliTolakReklamasi. http://instagram.com/p/pUi0JOTh_W/<c2><a0>,FALSE,False,NA,,NA,@iroen_mromance ,2,#BaliTolakReklamasi,1,/iroen_mromance/status/478659084905119745,outsiders jayapura sentani dukung aksi,5
2014-06-16,@uzzx_sekotjaFaj,@SBYudhoyono Pak besok kalau mau pidato ajak aku ya dg senang hati aku bakal Teriak= #BaliTolakReklamasi #BatalkanPerpres51th2014,FALSE,False,NA,,NA,@uzzx_sekotjaFaj @SBYudhoyono,2,"#BaliTolakReklamasi, #BatalkanPerpresth",2,/uzzx_sekotjaFaj/status/478658889764704256,besok pidato ajak senang hati teriak,6
2014-06-16,@Pandhu_SOD,I Stand for it  @JRX_SID @SBYudhoyono #BaliTolakReklamasi pic.twitter.com/t4wrIxlP31,FALSE,False,NA,,NA,"@Pandhu_SOD @JRX_SID, @SBYudhoyono",3,#BaliTolakReklamasi,1,/Pandhu_SOD/status/478652275104043008,stand,1
2014-06-16,@charsiem,"@its_asta @ERX_BASTARD @wiraelseta @terlengkonk @JRX_SID Warga TABANAN MENOLAK REKLAMASI TELUK BENOA (Proyek Cukong"") #BaliTolakReklamasi",FALSE,True,NA,,NA,"@charsiem @its_asta, @ERX_BASTARD, @wiraelseta, @terlengkonk, @JRX_SID",6,#BaliTolakReklamasi,1,/charsiem/status/478629405074272257,warga tabanan menolak teluk proyek cukong,6
2014-06-16,@Omyeen,SBY BATALKAN SEKARANG PERPRES NO 51/2014 #BALITOLAKREKLAMASI!!! pic.twitter.com/GZfcY7DFJI,FALSE,False,NA,,NA,@Omyeen ,2,#BALITOLAKREKLAMASI,1,/Omyeen/status/478628542511472642,sby batalkan perpres,3
2014-06-16,@_GusBegenk,Ayolah @SBYudhoyono segera #BatalkanPerpres51th2014 || Tak dengarkah kau @JRX_SID cs @forbali13 bhkn @iwanfals bersuara #BaliTolakReklamasi,FALSE,False,NA,,NA,"@_GusBegenk @SBYudhoyono, @JRX_SID, @forbali, @iwanfals",5,"#BatalkanPerpresth, #BaliTolakReklamasi",2,/_GusBegenk/status/478619810368983040,ayolah dengarkah cs bhkn bersuara,5
2014-06-16,@Luphi_666,#balitolakreklamasi @bobbybikul http://instagram.com/p/pUQiqmoAmN/<c2><a0>,FALSE,False,NA,,NA,@Luphi_666 @bobbybikul,2,#balitolakreklamasi,1,/Luphi_666/status/478618902797107200,,0
2014-06-16,@WinNyoman,"Ciri - ciri panasbung:
* bikin account untuk kampanye
* habis kampanye account ne ilang.

#BaliTolakReklamasi pic.twitter.com/OrIDade0sI",FALSE,False,NA,,NA,@WinNyoman ,2,#BaliTolakReklamasi,1,/WinNyoman/status/478613601578528768,ciri ciri panasbung bikin account kampanye habis kampanye account ilang,10
