author;message_short;date;commit;weekday;month;monthday;time;year;message;left_parent;right_parent;n_parents
eppofahmi;data new;2018-04-23T21:54:30Z;bd1ffde;Mon;Apr;23;21.54.30;2018;data new;e52dadfd67a7df3c6a63b847f11c88694af96211;NA;1
eppofahmi;eksplorasi petisi go;2018-04-24T09:18:13Z;b2e0eab;Tue;Apr;24;09.18.13;2018;eksplorasi petisi gojek.. next topic modelling;bd1ffde1d754b9463d4b18711e11a0ea37975799;NA;1
eppofahmi;topic modelling;2018-04-24T12:25:06Z;f5630b9;Tue;Apr;24;12.25.06;2018;topic modelling;b2e0eab00d11470b6d1850a4703621e85bb75fe3;NA;1
eppofahmi;gojek network;2018-04-24T14:41:46Z;c43cf05;Tue;Apr;24;14.41.46;2018;gojek network;f5630b9e7f2150cff4410c80ef92c299bc6a8a0e;NA;1
eppofahmi;pic... cleaning from;2018-04-24T17:35:02Z;47259d4;Tue;Apr;24;17.35.02;2018;pic... cleaning from user_all;c43cf052cd7d827890c7dd383928d3b22852d8ae;NA;1
eppofahmi;project desc and dat;2018-04-25T17:00:09Z;2bd321d;Wed;Apr;25;17.00.09;2018;project desc and data;47259d4b5a505d8d0a9a10d25a787501a639676d;NA;1
eppofahmi;petisi scrapper upda;2018-04-26T10:20:34Z;8ddf1fc;Thu;Apr;26;10.20.34;2018;petisi scrapper update;2bd321df943718eb767dc6414dc23c91ded2a2e1;NA;1
eppofahmi;user cleaning;2018-04-26T13:02:16Z;5e30142;Thu;Apr;26;13.02.16;2018;user cleaning;8ddf1fcc278af42f79a9a803551e2ae4a8d727b6;NA;1
eppofahmi;new wrangling;2018-04-26T13:06:25Z;65d4308;Thu;Apr;26;13.06.25;2018;new wrangling;5e30142d2ee0aac1c930e1ccf306c7808eee766f;NA;1
eppofahmi;new data source and ;2018-04-27T10:53:04Z;a78c3ee;Fri;Apr;27;10.53.04;2018;new data source and exploration;65d4308c08a2cf69ad1d1e71f5fa921c9417291a;NA;1
eppofahmi;hashtag cleaning;2018-04-27T14:19:32Z;7712b49;Fri;Apr;27;14.19.32;2018;hashtag cleaning;a78c3eec7c938e8878db448840162ef7ebdb0b84;NA;1
eppofahmi;deleting 2 files;2018-04-27T18:35:44Z;db3e3fe;Fri;Apr;27;18.35.44;2018;deleting 2 files;7712b49f6e147a5e7b6cfe6f0ebba296abe8940d;NA;1
eppofahmi;eksplorasi 1 untuk m;2018-04-28T13:34:53Z;5cfcf37;Sat;Apr;28;13.34.53;2018;eksplorasi 1 untuk mengetahui wacana di change org;db3e3fef073ffc723ac7263e275922da2fe1c937;NA;1
eppofahmi;renaming files;2018-04-28T13:48:21Z;4cbbbe2;Sat;Apr;28;13.48.21;2018;renaming files;5cfcf37d887a67459d0c7d3ab25a97833523e3a4;NA;1
eppofahmi;new regex for hashta;2018-04-30T14:35:57Z;4390993;Mon;Apr;30;14.35.57;2018;new regex for hashtag, username and removing special urls from change;4cbbbe223ec75ce0e7d3a98e999a2781aa93c732;NA;1
eppofahmi;tag and username cle;2018-04-30T16:50:51Z;2e2695f;Mon;Apr;30;16.50.51;2018;tag and username cleaning;439099362278c477ff1bf0c7cdc3ccc144e93c8a;NA;1
