ad
kiranya
kita
kitalah
kle
klee
kok
ksh
kui
kur
kurang
l
la
lagi
lagian
lah
lain
lainnya
laksde
lalu
lama
lamanya
lanjut
lanjutnya
le
lebih
lewat
lh
lima
ll
loco
lp
lr
luar
m
macam
maka
makanya
makin
malah
malahan
mampu
mampukah
mana
manakala
manalagi
masa
masalah
masalahnya
masih
masihkah
masing
masing-masing
mau
maupun
mbok
meadep
melainkan
melakukan
melalui
melihat
melihatnya
memang
memastikan
memberi
memberikan
membuat
memerlukan
memihak
meminta
memintakan
memisalkan
memperbuat
mempergunakan
memperkirakan
memperlihatkan
mempersiapkan
mempersoalkan
mempertanyakan
mempunyai
memulai
memungkinkan
menaiki
menambahkan
menandaskan
menanti
menanti-nanti
menantikan
menanya
menanyai
menanyakan
mendapat
mendapatkan
mendatang
mendatangi
mendatangkan
menegaskan
mengakhiri
mengapa
mengatakan
mengatakannya
mengenai
mengerjakan
mengetahui
menggunakan
menghendaki
mengibaratkan
mengibaratkannya
mengingat
mengingatkan
menginginkan
mengira
mengucapkan
mengucapkannya
mengungkapkan
menjadi
menjawab
menjelaskan
menuju
menunjuk
menunjuki
menunjukkan
menunjuknya
menurut
menuturkan
menyampaikan
menyangkut
menyatakan
menyebutkan
menyeluruh
menyiapkan
merasa
mereka
merekalah
merupakan
meski
meskipun
meyakini
meyakinkan
minta
mirip
misal
misalkan
misalnya
moo
mp
mpei
mpnya
mula
mulai
mulailah
mulanya
mungkin
mungkinkah
n
nah
naik
namun
nanti
nantinya
nd
ne
nee
neg
ng
ngae
nge
ni
niskalaaaaaa
nk
nu
nyaris
nyatanya
o
oi
oleh
olehnya
oppress
osdldr
osdlr
p
pada
padahal
padanya
pak
paling
panjang
pantas
para
pasti
pastilah
penting
pentingnya
per
percuma
perlu
perlukah
perlunya
pernah
persoalan
pertama
pertama-tama
pertanyaan
pertanyakan
pihak
pihaknya
po
pogo
pok
pst
pukul
pula
pun
punya
q
r
rasa
rasanya
rata
re
rupanya
s
sa
saat
saatnya
saja
sajalah
saling
sam
sama
sama-sama
sambil
sampai
sampai-sampai
sampaikan
sana
sangat
sangatlah
satu
saya
sayalah
se
sebab
sebabnya
sebagai
sebagaimana
sebagainya
sebagian
sebaik
sebaik-baiknya
sebaiknya
sebaliknya
sebanyak
sebegini
sebegitu
sebelum
sebelumnya
sebenarnya
seberapa
sebesar
sebetulnya
sebisanya
sebuah
sebut
sebutlah
sebutnya
secara
secukupnya
sedang
sedangkan
sedemikian
sedikit
sedikitnya
seenaknya
segala
segalanya
segera
seharusnya
sehingga
seingat
sejak
sejauh
sejenak
sejumlah
sekaa
sekadar
sekadarnya
sekali
sekali-kali
sekalian
sekaligus
sekalipun
sekarang
sekarang
sekecil
seketika
sekiranya
sekitar
sekitarnya
sekurang-kurangnya
sekurangnya
sela
selain
selaku
selalu
selama
selama-lamanya
selamanya
selanjutnya
seluruh
seluruhnya
semacam
semakin
semampu
semampunya
semasa
semasih
semata
semata-mata
semaunya
sementara
semisal
semisalnya
sempat
semua
semuanya
semula
sendiri
sendirian
sendirinya
seolah
seolah-olah
seorang
sepanjang
sepantasnya
sepantasnyalah
seperlunya
seperti
sepertinya
sepihak
sering
seringnya
serta
serupa
sesaat
sesama
sesampai
sesegera
sesekali
seseorang
sesuatu
sesuatunya
sesudah
sesudahnya
setelah
setempat
setengah
seterusnya
setiap
setiba
setibanya
setidak-tidaknya
setidaknya
setinggi
seusai
sewaktu
sfk
si
siap
siapa
siapakah
siapapun
sini
sinilah
soal
soalnya
st
stt
suatu
sudah
sudahkah
sudahlah
supaya
suud
svaha
t
tadi
tadinya
tahu
tahun
tak
tambah
tambahnya
tampak
tampaknya
tan
tandas
tandasnya
tanpa
tanya
tanyakan
tanyanya
tapi
tegas
tegasnya
telah
tempat
tengah
tentang
tentu
tentulah
tentunya
tepat
terakhir
terasa
terbanyak
terdahulu
terdapat
terdiri
terhadap
terhadapnya
teringat
teringat-ingat
terjadi
terjadilah
terjadinya
terkira
terlalu
terlebih
terlihat
termasuk
ternyata
tersampaikan
tersebut
tersebutlah
tertentu
tertuju
terus
terutama
tetap
tetapi
tg
th
tiap
tiba
tiba-tiba
tidak
tidakkah
tidaklah
tiga
tinggi
tj
toh
tps
ts
tt
ttww
tunjuk
tur
turut
tutur
tuturnya
twbi
u
ucap
ucapnya
ud
ujar
ujarnya
uli
umum
umumnya
ungkap
ungkapnya
unt
untuk
usah
usai
uve
v
vid
vox
w
waduh
wah
wahai
waktu
waktunya
walau
walaupun
wd
wi
wong
wr
x
xd
xp
xx
y
yaitu
yakin
yakni
yan
yang
yas
ye
yg
yu
ya
utk
dgn
yuk
gak
nya
ga
aja
jgn
om
jg
mas
bro
nih
cek
dg
bpk
gue
sy
mu
lg
klo
jd
tl
hey
kau
yo
ava
bs
gak
ga
nya
jgn
bali
indonesia
benua
benoa
men
selamat
pagi
siang
sore
malam
mari
tolak
reklamasi
download
lagu
terima
kasih
follower
gratis
jebret
menit
wib
lo
tau
followers
klik
sih
jam
add
now
sing
yel
bobbyalcoholic
pd
twit
thd
dkk
hi
jrxsid
says
support
vs
ttg
krn
beerday
karna
reply
retweet
geekssmile
follor
smille
ronaldosagala
mlm
tp
tdk
twitter
nak
ndak
neh
pls
thanx
wogh
min
