date,tweets,periode,person
2014-06-26,Kekuasaan saat ini selalu berusaha benturkan masyarakat sipil dgn sipil .jgn terpancing dan terprovokasi .Tetap aksi damai #balitolakreklamasi,periode_2,gendovara
2014-06-22,"""@VikoWolo999 : Lagu #BaliTolakReklamasi @gendovara @forbali13  cc @TopanFreeman @KomarClash @Moko_Ke @CopokTBH",periode_2,gendovara
2014-06-21,Dalam hormat u / kawan2 @outsiderbdg yg gelar aksi #batalkanperpreslimasatuthbjad di Bandung . moga @SBYudhoyono ga tuli n buta . #balitolakreklamasi,periode_2,gendovara
2014-06-21,"Bali tolak reklamasi bergema di Bandung .Biar penguasa tau gerakan ini menasional ""@outsidersBDG : #baliTolakReklamasi",periode_2,gendovara
2014-06-19,@SID_Official Thx atas persembahan kalian u / gerakan #balitolakreklamasi di AMI award cc @JRX_SID @BOBBYBIKUL @baliekarock @SoundbwoyDodix,periode_2,gendovara
2014-06-17,anda menyebut kami segelintir ? ehm kami ada ribuan #batalkanperpreslimasatuthbjad #balitolakreklamasi --->,periode_2,gendovara
2014-06-17,"Cc @dendisandinatha @madebayak ""@xRMBLx : Pemain tabuh lokal . #BatalkanPerpreslimasatuthbjad #BaliTolakReklamasi",periode_2,gendovara
2014-06-16,"@iwanfals ""ternyata kita harus ke jalan , robohkan perpres yg berdiri mengangkang "" #batalkanPerpreslimasatuthbjad #balitolakreklamasi teluk benoa",periode_2,gendovara
2014-06-12,"Cc @KOMPOLNAS cc @komnasham ""@bobbyalcoholic : Krn alasan @SBYudhoyono mau lwt baliho #BaliTolakReklamasi kami dibongkar ,bpk2 intimidasi kami",periode_2,gendovara
2014-06-10,"""@VikoWolo999 : @JRX_SID @gendovara @forbali13 #BaliTolakReklamasi",periode_2,gendovara
2014-02-20,Menunggu foto @valdyabara berkaos #balitolakreklamasi,periode_1,gendovara
2014-01-29,Kedatangan mereka ; @bobi_marjinal @MIKE_MARJINAL memberi tambahan tarikan nafas perlawanan . #baliTolakReklamasi,periode_1,gendovara
2014-08-30,"@jokowi_do2 ""@mariustimothy : #BaliTolakReklamasi #BatalkanPerpreslimasatuthbjad #JokoWillSaveBali cc : @forbali13 @JRX_SID",periode_2,gendovara
2014-08-30,"Cc @juliaperrez ""@antonemus : reklamasi teluk benoa rentan bikin kebanjiran . ini hasil risetnya . #BaliTolakReklamasi",periode_2,gendovara
2014-08-30,"Cc @jokowi_do2 ""@antonemus : reklamasi teluk benoa membuat bali selatan kebanjiran . ini risetnya . #BaliTolakReklamasi",periode_2,gendovara
